,Minutes5UTC,Minutes5DK,PriceArea,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeGreatBritain,ExchangeNorway,ExchangeSweden,BornholmSE4
36,2024-10-28T10:05:00,2024-10-28T11:05:00,DK1,206.100006,347.859985,637.109985,826.190002,279.540009,-464.359985,264.23999,-0.09,0.0,730.469971,489.0,
37,2024-10-28T10:05:00,2024-10-28T11:05:00,DK2,177.910004,456.549988,388.209991,122.68,135.960007,464.359985,-799.869995,,,,975.440002,12.12
38,2024-10-28T10:00:00,2024-10-28T11:00:00,DK1,206.309998,374.109985,689.570007,831.549988,220.309998,-510.720001,272.5,-0.09,0.0,730.719971,436.0,
39,2024-10-28T10:00:00,2024-10-28T11:00:00,DK2,184.440002,462.950012,383.079987,117.099998,130.149994,510.720001,-815.799988,,,,977.320007,12.09
40,2024-10-28T09:55:00,2024-10-28T10:55:00,DK1,217.070007,396.950012,730.140015,815.539978,215.279999,-541.640015,226.229996,-0.09,0.0,730.47998,381.0,
41,2024-10-28T09:55:00,2024-10-28T10:55:00,DK2,184.679993,459.309998,392.559998,113.160004,119.559998,541.640015,-836.25,,,,984.97998,12.32
42,2024-10-28T09:50:00,2024-10-28T10:50:00,DK1,201.580002,396.540009,785.22998,809.919983,214.25,-563.890015,262.940002,-0.09,0.0,730.650024,327.0,
43,2024-10-28T09:50:00,2024-10-28T10:50:00,DK2,183.860001,457.209991,398.369995,113.790001,113.870003,563.890015,-839.080017,,,,951.890015,12.32
44,2024-10-28T09:45:00,2024-10-28T10:45:00,DK1,202.830002,395.230011,770.299988,816.22998,210.380005,-570.840027,327.049988,-0.09,0.0,730.929993,275.0,
45,2024-10-28T09:45:00,2024-10-28T10:45:00,DK2,185.139999,456.429993,390.940002,114.900002,122.650002,570.840027,-835.919983,,,,943.299988,13.04
