latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.921015329658985,11.662305062636733,12.799999999999955,2022-10-08 13:13:47+02:00,98,0,14.055695533752441
55.92102589085698,11.662357868626714,12.799999999999955,2022-10-08 13:13:48+02:00,97,61,14.116682052612305
55.92099596746266,11.662495248019695,12.799999999999955,2022-10-08 13:13:54+02:00,92,73,14.143874168395996
55.920978700742126,11.662526177242398,12.799999999999955,2022-10-08 13:13:57+02:00,98,71,14.13538932800293
55.92097459360957,11.662537157535553,12.600000000000023,2022-10-08 13:13:58+02:00,103,0,14.136137008666992
55.92097048647702,11.66254771873355,12.600000000000023,2022-10-08 13:13:59+02:00,108,61,14.13679313659668
55.92096612788737,11.662557190284133,12.600000000000023,2022-10-08 13:14:00+02:00,108,0,14.136500358581543
55.92096319422126,11.662565404549241,12.600000000000023,2022-10-08 13:14:02+02:00,112,0,14.137676239013672
55.920970905572176,11.662580743432045,12.600000000000023,2022-10-08 13:14:04+02:00,117,0,14.159758567810059
55.92097224667668,11.662590634077787,12.600000000000023,2022-10-08 13:14:05+02:00,117,0,14.16839599609375
55.92097107321024,11.662594825029373,12.399999999999977,2022-10-08 13:14:06+02:00,120,0,14.169498443603516
55.92097241431475,11.66260588914156,12.399999999999977,2022-10-08 13:14:07+02:00,124,0,14.178869247436523
55.92097886838019,11.662645284086466,12.0,2022-10-08 13:14:11+02:00,127,0,14.213926315307617
55.92098431661725,11.662657018750906,11.800000000000011,2022-10-08 13:14:13+02:00,130,0,14.228811264038086
55.92099018394947,11.66266355663538,11.800000000000011,2022-10-08 13:14:14+02:00,133,0,14.240697860717773
55.920993871986866,11.662670513615012,11.800000000000011,2022-10-08 13:14:15+02:00,133,0,14.24985122680664
55.92100719921291,11.662686355412006,11.800000000000011,2022-10-08 13:14:17+02:00,126,0,14.276515007019043
55.9210092946887,11.662687612697482,11.600000000000023,2022-10-08 13:14:18+02:00,126,0,14.27990436553955
55.92100736685097,11.66266992688179,11.199999999999989,2022-10-08 13:14:26+02:00,123,0,14.267033576965332
55.92100292444229,11.662764642387629,9.800000000000011,2022-10-08 13:14:33+02:00,120,57,14.313577651977539
55.92108204960823,11.662962287664413,9.0,2022-10-08 13:14:40+02:00,117,56,14.432491302490234
55.92111239209771,11.663156999275088,8.800000000000011,2022-10-08 13:14:45+02:00,113,55,14.454875946044922
55.921159498393536,11.663511553779244,7.800000000000011,2022-10-08 13:14:52+02:00,110,80,14.215889930725098
55.921160420402884,11.66361347772181,7.800000000000011,2022-10-08 13:14:54+02:00,107,80,14.091979026794434
55.92117332853377,11.663824701681733,7.399999999999977,2022-10-08 13:14:58+02:00,110,80,13.759319305419922
55.921173579990864,11.66388371028006,7.199999999999989,2022-10-08 13:14:59+02:00,114,80,13.669172286987305
55.921179447323084,11.663932744413614,7.199999999999989,2022-10-08 13:15:00+02:00,121,80,13.591676712036133
55.921187745407224,11.66398094035685,7.0,2022-10-08 13:15:01+02:00,125,80,13.507109642028809
55.92118204571307,11.664061406627297,6.800000000000011,2022-10-08 13:15:02+02:00,130,80,13.366815567016602
55.92118204571307,11.664061406627297,6.800000000000011,2022-10-08 13:15:03+02:00,130,80,13.366815567016602
55.92131707817316,11.664281515404582,11.0,2022-10-08 13:15:16+02:00,128,80,12.988397598266602
55.921429228037596,11.664351169019938,12.200000000000045,2022-10-08 13:15:22+02:00,132,72,12.973703384399414
55.92145638540387,11.664357203990221,12.600000000000023,2022-10-08 13:15:23+02:00,135,82,12.988715171813965
55.92159024439752,11.664370698854327,13.0,2022-10-08 13:15:28+02:00,138,81,13.127594947814941
55.9217831119895,11.664420068264008,14.799999999999955,2022-10-08 13:15:34+02:00,142,80,13.444316864013672
55.921807838603854,11.664456026628613,15.200000000000045,2022-10-08 13:15:35+02:00,144,80,13.485669136047363
55.92181068845093,11.66474268771708,16.0,2022-10-08 13:15:40+02:00,147,77,13.301359176635742
55.921811359003186,11.66481351479888,16.0,2022-10-08 13:15:41+02:00,153,78,13.259902954101562
55.9218071680516,11.664882246404886,15.799999999999955,2022-10-08 13:15:42+02:00,153,80,13.207046508789062
55.92178571037948,11.665020883083344,15.200000000000045,2022-10-08 13:15:44+02:00,150,80,13.055582046508789
55.92175444588065,11.66514485143125,14.600000000000023,2022-10-08 13:15:45+02:00,146,81,12.875632286071777
55.92175444588065,11.66514485143125,14.600000000000023,2022-10-08 13:15:46+02:00,151,81,12.875632286071777
55.921699376776814,11.665292624384165,14.399999999999977,2022-10-08 13:15:49+02:00,154,79,12.641124725341797
55.92152629047632,11.665411563590169,14.399999999999977,2022-10-08 13:15:56+02:00,152,79,12.04849624633789
55.921509778127074,11.665414916351438,14.600000000000023,2022-10-08 13:15:57+02:00,149,79,12.003669738769531
55.921484380960464,11.665426399558783,15.0,2022-10-08 13:16:00+02:00,146,76,11.93170166015625
55.92144607566297,11.665432518348098,14.799999999999955,2022-10-08 13:16:01+02:00,145,76,11.825370788574219
55.92138899490237,11.665431931614876,13.799999999999955,2022-10-08 13:16:05+02:00,143,72,11.670098304748535
55.92136921361089,11.665508458390832,13.399999999999977,2022-10-08 13:16:07+02:00,143,74,11.565346717834473
55.92131917364895,11.665874999016523,10.600000000000023,2022-10-08 13:16:14+02:00,144,79,11.202953338623047
55.92129712924361,11.666196025907993,8.399999999999977,2022-10-08 13:16:21+02:00,144,78,11.042266845703125
55.92131230048835,11.666219243779778,8.0,2022-10-08 13:16:22+02:00,143,78,11.109223365783691
